tract_geoid,pop2020,frey_votes,opponent_votes,total_votes,n_blocks,year,frey_share,opponent_name
27053011000,3539,885.3978174417954,783.4339294327585,1668.8317468745533,57,2021,53.05494811565033,Knuth
27053011703,4274,1318.2521461312151,839.9669947653578,2158.219140896573,75,2021,61.08055114290124,Knuth
27053011704,3379,1000.5353953393219,491.3812379787259,1491.9166333180478,62,2021,67.06376033318392,Knuth
27053011800,4721,1143.024183941826,845.8915534000495,1988.9157373418752,90,2021,57.46971389896301,Knuth
27053011998,4292,1125.1926303619937,788.1810617787454,1913.3736921407396,81,2021,58.80673675946147,Knuth
27053012001,6331,1760.0425157878212,936.8201797207212,2696.8626955085438,108,2021,65.26259266810513,Knuth
27053012003,5290,1100.6455870969542,523.8006714433582,1624.4462585403123,78,2021,67.7551246346535,Knuth
27053012101,3004,470.1442587265194,348.2392418708108,818.3835005973301,51,2021,57.44791511355809,Knuth
27053012102,2935,605.0388860919073,434.03281774574907,1039.0717038376563,60,2021,58.228790549996354,Knuth
27053100200,3764,597.4926670673465,317.04542930139905,914.5380963687458,71,2021,65.33272582517272,Knuth
27053100400,3388,344.6985518115163,161.53759702838147,506.2361488398978,50,2021,68.09046580364428,Knuth
27053100500,1978,320.09013483590513,296.3514377217709,616.4415725576761,62,2021,51.925462052765205,Knuth
27053100700,3139,433.3048170000689,256.3369883021659,689.641805302235,47,2021,62.830416263725986,Knuth
27053100800,4209,384.63349117827846,185.26800768498768,569.9014988632659,49,2021,67.49122294738198,Knuth
27053100900,5005,395.8477050296889,212.4238404334039,608.2715454630929,69,2021,65.07746548103277,Knuth
27053101200,4913,1116.9564468570584,887.4432592304036,2004.399706087462,85,2021,55.72523501499257,Knuth
27053101300,1887,212.71743847020159,120.5915192566011,333.3089577268026,24,2021,63.81989848726355,Knuth
27053101600,3174,199.60799437933838,67.48752911618222,267.0955234955206,51,2021,74.7328116050159,Knuth
27053101800,4153,479.0883664663483,596.8727247794931,1075.961091245841,66,2021,44.52655122608739,Knuth
27053101900,2833,387.1504338418593,549.7480416847073,936.8984755265667,37,2021,41.32255990962825,Knuth
27053102000,2317,299.84012669423413,124.90564924890771,424.74577594314206,44,2021,70.59284486783731,Knuth
27053102100,2809,230.45830161274918,86.76513280330202,317.22343441605113,34,2021,72.64857403646099,Knuth
27053102500,2746,397.3475711711432,506.1583469384658,903.5059181096087,37,2021,43.97841377757739,Knuth
27053102600,2023,258.2147273241626,335.7602295085456,593.9749568327082,62,2021,43.47232561807959,Knuth
27053102800,2999,308.4288367716287,128.494091165011,436.92292793663955,47,2021,70.5911310784669,Knuth
27053103000,1779,348.96281153476434,358.4867863197432,707.4495978545074,34,2021,49.32687962408473,Knuth
27053103100,2161,400.2471522223796,385.6023296254779,785.8494818478575,22,2021,50.931782926322335,Knuth
27053103400,3063,237.42563356960238,73.89440868160288,311.3200422512053,57,2021,76.26416592158328,Knuth
27053103600,3093,741.368884797345,518.6635766935522,1260.0324614908975,60,2021,58.83728455060129,Knuth
27053103700,4282,816.5070569402312,625.2335356171077,1441.7405925573391,39,2021,56.63342359612158,Knuth
